Material;Materialkurztext;;Type;Known / Estimatet Reason;Priority
0703315;Abdeckung;;Cover panel;Repair because of dammage;Ignore
56323631100;Abdeckung;;Cover panel;Repair because of dammage;Ignore
56324313815;Abdeckung 'Heck;;Cover panel;Repair because of dammage;Ignore
0723218;Abdeckung 'Minihbel  Handauflage;;Cover panel;Repair because of dammage;Ignore
0702665;BLENDE;;Cover panel;Repair because of dammage;Ignore
50983609595;Bodenplatte 'Zweipedal-FahrbetÑtigung;;Cover panel;Repair because of dammage;Ignore
0738916;Deckel;;Cover panel;Repair because of dammage;Ignore
0719646;Deckel 'GPN 910/4395 RAL9005;;Cover panel;Repair because of dammage;Ignore
0703338;GEHAEUSE;;Cover panel;Repair because of dammage;Ignore
55016162000;Stirnhaubenverkleidung;;Cover panel;Repair because of dammage;Ignore
55044325008;Scharnierblech;;Cover panel;Repair because of dammage;Ignore
55044325009;Scharnierblech;;Cover panel;Repair because of dammage;Ignore
0643971;VERKLEIDUNG;;Cover panel;Repair because of dammage;Ignore
0727972;Verkleidung;;Cover panel;Repair because of dammage;Ignore
0730948;Verkleidung;;Cover panel;Repair because of dammage;Ignore
0157447;AT-BEREIFUNG'157448 N.REP.157447;;Tyre;Wear out;Important
0157477;AT-BEREIFUNG'157478 N.REP.157477;;Tyre;Wear out;Important
M1700044;SUPERELASTIKREIFEN 140/55-9 NATUR SC 20;;Tyre;Wear out;Important
0724229;Auspuffrohr;;Exhaust;Repair because of dammage;Ignore
0525707;Batterie '12V 88Ah;;Battery;Wear out;Interest
0700490;BATTERIEKABELSATZ;;Battery parts;Repair because of dammage;Ignore
0738660;Batteriekabelsatz Zsb 'LV160 48V;;Battery parts;Repair because of dammage;Ignore
0526618;BATTERIE'REN_CR 2477N;;Battery parts;Repair because of dammage;Ignore
50983812000;Batteriestecker 'LV160-35;;Battery parts;Repair because of dammage;Ignore
41804338500;Beckengurt;;belt;Repair because of dammage;Ignore
57314306124;Bedieneinheit Zsb 'Doppelhebel;;hydraulik lever;Repair because of dammage;Ignore
0716714;Beschleunigungssensor Zsb;;Electrical control;Repair because of dammage;Interest
0172588;BLECHSCHRAUBE;;Screw;expendable materials;Ignore
0530459;Flachkopfschraube 'M3x12-4.8-H-DAC-sw;;Screw;expendable materials;Ignore
0530391;Flachkopfschraube 'M6x50-10.9-ULF-DAC-SW;;Screw;expendable materials;Ignore
0532461;Flachrundschraube 'M8x90-8.8-A2R;;Screw;expendable materials;Ignore
0520620;Blechschraube 'ST4,8x13-C-H-A2R;;Screw;expendable materials;Ignore
9008311125;Sechskantschraube 'M6x10-8.8-A2C;;Screw;expendable materials;Ignore
9008311132;Sechskantschraube 'M6x20-8.8-A2C;;Screw;expendable materials;Ignore
9008311183;Sechskantschraube 'M8x25-8.8-A2C;;Screw;expendable materials;Ignore
9008311186;Sechskantschraube 'M8x30-8.8-A2C;;Screw;expendable materials;Ignore
9008311193;Sechskantschraube 'M8x45-8.8-A2C;;Screw;expendable materials;Ignore
0332850;Senkschraube 'M12x25-8.8-A2G+KS;;Screw;expendable materials;Ignore
9062303135;Senkschraube 'M6x25-8.8-ZNS;;Screw;expendable materials;Ignore
0501975;Linsenschraube 'M4x25-4.8-A2A;;Screw;expendable materials;Ignore
0524613;LINSENSCHRAUBE'MLF M6X20 10.9ZNB;;Screw;expendable materials;Ignore
0530390;LINSENSCHRAUBE'MLF M6X35 10.9 DM/SW;;Screw;expendable materials;Ignore
0172009;SCHRAUBE;;Screw;expendable materials;Ignore
0781095;Schraube;;Screw;expendable materials;Ignore
0523511;SCHRAUBE'S933 HM3X28  A2C;;Screw;expendable materials;Ignore
9045316040;Zylinderschraube 'M3x20-8.8-A2C;;Screw;expendable materials;Ignore
9045316074;Zylinderschraube 'M4x25-8.8-A2C;;Screw;expendable materials;Ignore
9045316102;Zylinderschraube 'M5x20-8.8-A2C;;Screw;expendable materials;Ignore
0505275;Zylinderschraube 'M6x25-8.8-A2C;;Screw;expendable materials;Ignore
9045316137;Zylinderschraube 'M6x30-8.8-A2C;;Screw;expendable materials;Ignore
0705325;BOLZEN;;Bolt;expendable materials;Ignore
0716270;Bolzen;;Bolt;expendable materials;Ignore
55044323901;Bolzen;;Bolt;expendable materials;Ignore
55044323902;Bolzen;;Bolt;expendable materials;Ignore
0135719;BOLZEN'KLASSE  1+2  DIN  15178;;Bolt;expendable materials;Ignore
0713370;BolzentrÑger SL;;Bolt;expendable materials;Ignore
0172007;BUCHSE;;Connector;expendable materials;Ignore
0149991;BuchsengehÑuse '149 991 Still;;Connector;expendable materials;Ignore
