COUNTER;NAME    ;GRUPPE  ;NUMMER  ;GERAET  ;Temp;FehlerNr;PRIO    ;BESCHREIBUNG;URSACHE ;BEMERK. ;LEVEL   ;SW-VERS ;REAKT.  ;QUIT    ;ABHILFE ;KUERZEL ;Vari_Nr;ET;;;;;;;;;;;;;;;;;;;;
19;"HWf. I2C-Bus
";"12
";"01
";"A
";;A1201;"0
";Internal process error;Parameter set cannot be read out (error message from EEprom driver);"System arbeitet mit den Default-Parametern
";"SERV1
";"ab 0.01
";No contactor activation;Key switch;Reload the par file. If the error keeps occurring, consult the service centre.;"We
";"ERR_EDA_HW_24
";;;;;;;;;;;;;;;;;;;;;
20;"Pruefsumme Bereich Param.bereich
";"12
";"05
";"A
";;A1205;"0
";Internal process error;Check sum not OK after reading the EEprom data;"System arbeitet mit den Default-Parametern
";"SERV1
";"ab 0.01
";No contactor activation;Key switch;Reload the par file.;"We
";"ERR_EDA_PARA_CS_25
";;;;;;;;;;;;;;;;;;;;;
22;"DefaultParam. aktiviert
";"12
";"06
";"A
";;A1206;"0
";Internal process error;No consistent EEprom dataset available;"
";"SERV1
";"ab 0.01
";No contactor activation;Key switch;Reload the par file.;"We
";"ERR_EDA_PARA_DEF_27
";;;;;;;;;;;;;;;;;;;;;
21;"Pruefsumme Abgl.werte
";"12
";"10
";"A
";;A1210;"0
";Internal process error;Check sum not OK after reading the EEprom data;"System arbeitet mit den Default-Parametern
";"SERV1
";"ab 0.01
";No contactor activation;Key switch;Replace MCU;"We
";"ERR_EDA_ABGL_CS_26
";;;;;;;;;;;;;;;;;;;;;
23;"Defaultabgleichwerte aktiviert
";"12
";"11
";"A
";;A1211;"0
";Internal process error;No consistent EEprom dataset available;"System arbeitet mit den Default-Parametern
";"SERV1
";"ab 0.01
";No contactor activation;Key switch;Replace MCU;"We
";"ERR_EDA_ABGL_DEF_28
";;;;;;;;;;;;;;;;;;;;;
173;"Pruefsumme Kal.bereich
";"12
";"15
";"A
";;A1215;"0
";Error during alignment of parameters;Check sum not OK after reading the EEprom data;"
";"SERV1
";"ab 0.47
";;Key switch;Reload the par file. Use diagnostics to recalibrate transmitters.;"We,AW                               
";"ERR_EDA_KAL_CS_187
";;;;;;;;;;;;;;;;;;;;;
174;"Defaultkalibrierwerte aktiviert
";"12
";"16
";"A
";;A1216;"0
";Error during alignment of parameters;No consistent EEprom dataset available;"System arbeitet mit den Default-Parametern
";"SERV1
";"ab 0.47
";;Key switch;Reload the par file. Use diagnostics to recalibrate transmitters.;"We,AW
";"ERR_EDA_KAL_DEF_188
";;;;;;;;;;;;;;;;;;;;;
175;"Pruefsumme Param. 1
";"12
";"20
";"A
";;A1220;"0
";Internal process error;Check sum not OK after reading the EEprom data;"PV-Bereich Pruefsummenfehler
";"SERV1
";"ab 0.47
";;Key switch;Reload the par file.;"We,AW
";"ERR_EDA_PV_CS_189
";;;;;;;;;;;;;;;;;;;;;
176;"Defaultwerte Param. 1
";"12
";"21
";"A
";;A1221;"0
";Internal process error;No consistent EEprom dataset available;"PV-Bereich Defaultdaten geladen
";"SERV1
";"ab 0.47
";;Key switch;Reload the par file.;"We,AW
";"ERR_EDA_PV_DEF_190
";;;;;;;;;;;;;;;;;;;;;
26;"Pruefsumme Param. 2
";"12
";"25
";"A
";;A1225;"0
";Internal process error;Check sum not OK after reading the EEprom data;"SIC-Bereich Prüfsummenfehler
";"SERV1
";"ab 0.93
";System operates with the default parameters;;Reload the par file.;"R+T/aw
";"ERR_EDA_SIC_CS_31
";;;;;;;;;;;;;;;;;;;;;
27;"Defaultwerte Param. 2
";"12
";"26
";"A
";;A1226;"0
";Internal process error;No consistent EEprom dataset available;"SIC-Bereich Defaultdaten geladen
";"SERV1
";"ab 0.93
";System operates with the default parameters;;Reload the par file.;"R+T/aw
";"ERR_EDA_SIC_DEF_32
";;;;;;;;;;;;;;;;;;;;;
177;"Pruefsumme Sichk. 1
";"12
";"50
";"A
";;A1250;"0
";Internal process error;Check sum not OK after reading the EEprom data;"Sicherungskopie FU1 Pruefsummenfehler
";"SERV1
";"ab 0.47
";;Key switch;Reload the par file.;"We,AW
";"ERR_EDA_SFU1_CS_191
";;;;;;;;;;;;;;;;;;;;;
178;"Pruefsumme Sichk. 2
";"12
";"55
";"A
";;A1255;"0
";Internal process error;Check sum not OK after reading the EEprom data;"Sicherungskopie FU2 Pruefsummenfehler
";"SERV1
";"ab 0.47
";;Key switch;Reload the par file.;"We,AW
";"ERR_EDA_SFU2_CS_192
";;;;;;;;;;;;;;;;;;;;;
179;"Pruefsumme Sichk. 3
";"12
";"60
";"A
";;A1260;"0
";Internal process error;Check sum not OK after reading the EEprom data;"Sicherungskopie PU Pruefsummenfehler
";"SERV1
";"ab 0.47
";;Key switch;Reload the par file.;"
";"ERR_EDA_SPU_CS_193
";;;;;;;;;;;;;;;;;;;;;
180;"Pruefsumme Sichk. 4
";"12
";"65
";"A
";;A1265;"0
";Internal process error;Check sum not OK after reading the EEprom data;"Sicherungskopie ABE Pruefsummenfehler
";"SERV1
";"ab 0.47
";;Key switch;Reload the par file.;"We,AW
";"ERR_EDA_SABE_CS_194
";;;;;;;;;;;;;;;;;;;;;
25;"RN1: Speichertest
";"14
";"01
";"A
";;A1401;"16
";Control processor RAM memory test;Faulty storage cell detected;"
";"NORM
";"ab 0.86
";No contactor activation;;Replace MCU;"R+T/aw
";"ERR_SPT_30
";;;;;;;;;;;;;;;;;;;;;
259;"RN2: Speichertest
";"14
";"31
";"A
";;A1431;"16
";Monitoring processor RAM memory test;Faulty storage cell detected;"
";"NORM
";"ab 0.86
";No contactor activation;;Replace MCU;"R+T/aw
";"ERR_UE_SPT_278
";;;;;;;;;;;;;;;;;;;;;
194;"Falsche SW-Version Fahrumrichter
";"21
";"30
";"A
";"2130
";A2130;"0
";Traction converter software version error;The software versions for the converter and MCU are incompatible;"
";"NORM
";"0.17
";No contactor activation;;Update the operating software for the converter or the MCU;"MSch
";"ERR_SW_Version_FU_209
";;;;;;;;;;;;;;;;;;;;;
195;"Falsche SW-Ver. Pumpenumrichter
";"21
";"31
";"A
";"2131
";A2131;"0
";Pump converter software version error;The software versions for the converter and MCU are incompatible;"
";"NORM
";"0.17
";No contactor activation;;Update the operating software for the converter or the MCU;"MSch
";"ERR_SW_Version_PU_210
";;;;;;;;;;;;;;;;;;;;;
190;"Parameterfehler FU
";"21
";"32
";"A
";"2132
";A2132;"0
";FU parameter error;Sensorless revolution control for FU has been parameterised;"
";"NORM
";"0.18
";Drive unit is disabled;;"Traction converter must not be parameterised as ""sensorless""";"MSch
";"ERR_ParamSensorless_FU_205
";;;;;;;;;;;;;;;;;;;;;
143;"12V ext.: Kurzschluss
";"22
";"42
";"A
";;A2242;"16
";Short circuit in the accelerator/hydraulic transmitter;Transmitter supply short circuit;"Kurzschluss 12V Geber
";"NORM
";"ab 0.01
";Truck will not move, accelerator has no effect, hydraulics are no longer working;Automatically if error is rectified;Check cables and plugs on accelerator and hydraulic transmitter.;"We
";"ERR_VCC_12Vx_153
";;;;;;;;;;;;;;;;;;;;;
163;"12V ext.: Spannung zu klein
";"22
";"44
";"A
";;A2244;"0
";External 12 V too low;External load on the supply too high;"VCC 12Vint zu klein
";"SERV1
";"ab 0.01
";;Automatically if error is rectified;Check external transmitters and switches, replacing if necessary. Replace MCU.;"We,aw
";"ERR_VCC12Vug_174
";;;;;;;;;;;;;;;;;;;;;
164;"12V ext.: Spannung zu gross
";"22
";"45
";"A
";;A2245;"0
";External 12 V too high;Possible load on the VCC from the MCU. VCC source cannot be controlled;"VCC 12Vint zu gross
";"SERV1
";"ab 0.01
";;Automatically if error is rectified;Check external transmitters and switches, replacing if necessary. Replace MCU.;"We,aw
";"ERR_VCC12Vog_175
";;;;;;;;;;;;;;;;;;;;;
