"X.U.FEFF.Equipment";"Serialnummer";"TypBez";"BauJ";"Bestelldaten";"SBNR";"Auftrag";"Vertrag";"BewArt";"Meßwert";"Name.1";"Ort";"KDW";"VkOrg";"KM";"technischer.Hinweis";"interne.Bemerkung";"Meßwert..2.";"SendStelle";"SCd";"Gabeln.ink";"Batt.Ladeg";"Reifen.ink";"Anbaug";"Ident.Nr";"Schadenart";"Baugruppe";"Materialkurztext";"Z.Wechsel";"Beginn";"Ende";"Garantie.ab";"Garantie.bis";"Column.34";"Column.35";"Column.36";"Column.37";"Column.38";"Lohn.Koste";"Mat..Koste";"AnschDat";"Währg";"TechnAb";"SourceFile";"Source";"Filtered.to.at.17.13.49"
"3905065";"516211B01298";"RX 20-16";"2011";NA;13014833647;"6006341701";"12084439";"661";NA;"Nemera Neuenburg GmbH";"Neuenburg";"941483";"0130";"0";"Fahrzeugübergabe , Ladegerät in betrieb genommen   , Scheinwerfer eingestellt , Rückfahrsensor   geprüft , dauer Signal ( Kabelstecker";NA;NA;NA;"01";NA;NA;NA;NA;NA;NA;"Betriebsmittel";NA;NA;"26/01/2012";"26/01/2012";"27/12/2011";"27/12/2012";"0";"0";NA;NA;NA;"140.45";"0";"02/12/2011";"EUR";"07/02/2012";"Ansgar_1.xlsx";NA;"Untagged"
"3905065";"516211B01298";"RX 20-16";"2011";NA;13014833670;"6006355255";NA;"633";NA;"Nemera Neuenburg GmbH";"Neuenburg";"941483";"0130";"20";"Terminal motage durchgeführt .";NA;NA;NA;"01";NA;NA;NA;NA;NA;NA;"Sensorik";NA;NA;"18/01/2012";"18/01/2012";"27/12/2011";"27/12/2012";"0";"0";NA;NA;NA;"156.45";"0";"02/12/2011";"EUR";"09/02/2012";"Ansgar_1.xlsx";NA;"Untagged"
"3905065";"516211B01298";"RX 20-16";"2011";NA;800000291196;"6006945406";"10077934";"617";NA;"Nemera Neuenburg GmbH";"Neuenburg";"941483";"0130";"10";NA;"Servicebericht über Stornofunktion angelegt. (SB auf manuell)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"24/07/2012";"24/07/2012";"27/12/2011";"27/12/2012";"0";"0";NA;NA;NA;"103.66";"94.08";"02/12/2011";"EUR";"14/08/2012";"Ansgar_1.xlsx";NA;"Untagged"
"3905065";"516211B01298";"RX 20-16";"2011";NA;13014834048;"6007041146";"10077934";"617";NA;"Nemera Neuenburg GmbH";"Neuenburg";"941483";"0130";"20";"Hydraulikschlauch am Hubmast seitlich   durchgescheuert .Datum und Uhrzeiten für Fleet   Manager eingestellt .";NA;NA;NA;"03";NA;NA;NA;NA;NA;NA;"Ersetzt";NA;NA;"11/09/2012";"13/09/2012";"27/12/2011";"27/12/2012";"0";"0";NA;NA;NA;"219.94";"110.92";"02/12/2011";"EUR";"25/09/2012";"Ansgar_1.xlsx";NA;"Untagged"
"3905065";"516211B01298";"RX 20-16";"2011";NA;13014834242;"6007403892";"10077934";"617";NA;"Nemera Neuenburg GmbH";"Neuenburg";"941483";"0130";"20";"Durchführung der turnusmäßigen Wartungsarbeiten und der jährlichen UVV-Prüfung";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"07/01/2013";"07/01/2013";"27/12/2011";"27/12/2012";"1.3";"1";NA;NA;NA;"175.73";"1.14";"02/12/2011";"EUR";"23/01/2013";"Ansgar_1.xlsx";NA;"Untagged"
"3905065";"516211B01298";"RX 20-16";"2011";NA;13014834509;"6008006296";"10077934";"617";NA;"Nemera Neuenburg GmbH";"Neuenburg";"941483";"0130";"10";"Wartung nach 1000 Betriebsstunden";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"12/06/2013";"12/06/2013";"27/12/2011";"27/12/2012";"1";"0";NA;NA;NA;"84.11";"11.09";"02/12/2011";"EUR";"20/06/2013";"Ansgar_1.xlsx";NA;"Untagged"
"3905065";"516211B01298";"RX 20-16";"2011";NA;13023670099;"6008216234";"10077934";"617";NA;"Nemera Neuenburg GmbH";"Neuenburg";"942367";"0130";"14";"Batterie undicht , Aquamatik instandgesetzt ,   Batterie gereinigt ,Batterietrog abgesaugt .";"Klären ob Batterien im FS enthalten sind";NA;NA;"09";NA;NA;NA;NA;NA;NA;"Neu abgedichtet";NA;NA;"19/08/2013";"19/08/2013";"27/12/2011";"27/12/2012";"0";"0";NA;NA;NA;"183.4";"106.2";"02/12/2011";"EUR";"22/08/2013";"Ansgar_1.xlsx";NA;"Untagged"
"3905065";"516211B01298";"RX 20-16";"2011";NA;800000357357;"6008450142";"10077934";"617";NA;"Nemera Neuenburg GmbH";"Neuenburg";"941483";"0130";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"21/10/2013";"21/10/2013";"27/12/2011";"27/12/2012";"0";"0";NA;NA;NA;"0";"410";"02/12/2011";"EUR";"26/10/2013";"Ansgar_1.xlsx";NA;"Untagged"
"3905065";"516211B01298";"RX 20-16";"2011";NA;13014834775;"6008505281";"10077934";"617";NA;"Nemera Neuenburg GmbH";"Neuenburg";"941483";"0130";"10";"Räder auf der Lenkachse erneuert .";NA;NA;NA;"09";NA;NA;NA;NA;NA;NA;"Ersetzt";NA;NA;"28/11/2013";"28/11/2013";"27/12/2011";"27/12/2012";"0";"0";NA;NA;NA;"111.46";"196";"02/12/2011";"EUR";"30/11/2013";"Ansgar_1.xlsx";NA;"Untagged"
"3905065";"516211B01298";"RX 20-16";"2011";NA;13014834863;"6008588231";"10077934";"617";NA;"Nemera Neuenburg GmbH";"Neuenburg";"941483";"0130";"10";"Durchführung der turnusmäßigen Wartungsarbeiten und der jährlichen UVV-Prüfung";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3905065";"516211B01298";"RX 20-16";"2011";NA;13014834784;"6008640751";"10077934";"617";NA;"Nemera Neuenburg GmbH";"Neuenburg";"941483";"0130";"10";"einen zusätzlichen Blue Spot zum Test vorne   aufgebaut";"""Rücksprache Ralf Hund"""" schreiben""";NA;NA;"9";NA;NA;NA;NA;NA;NA;"Nacharbeit Sonstige";NA;NA;"04/12/2013";"04/12/2013";"27/12/2011";"27/12/2012";"0";"0";NA;NA;NA;"159.31";"0";"02/12/2011";"EUR";"10/12/2013";"Ansgar_1.xlsx";NA;"Untagged"
